GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jandas,fr.uga.jandas,App,7,0,0,0,3,0,2,0,2,0
jandas,fr.uga.jandas,DataFrame,53,540,7,55,14,103,12,39,5,12
jandas,fr.uga.jandas,Column,4,172,2,12,0,41,2,17,0,12
